Marca temporal,¿Imparte docencia en ciclos formativos de grado medio o superior?,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
9/02/2021 8:28:45,Sí,Grado medio,Ciencias Sociales,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 8:28:49,Sí,"Grado superior, CETIC",Tecnología,Hombre,45-55,más de 25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 8:49:14,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 9:41:04,Sí,Grado superior,Tecnología,Hombre,35-45,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación o instituto (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)","Telegram, Slack","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 9:44:12,Sí,Grado superior,Tecnología,Mujer,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 9:44:51,Sí,"Grado medio, Grado superior",Tecnología,Mujer,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,Sistema de mensajería de Moodle y Classroom,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 9:48:27,Sí,Grado superior,Tecnología,Mujer,35-45,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 9:50:33,Sí,Grado medio,Tecnología,Mujer,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 9:50:57,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Whatsapp,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 9:52:54,Sí,Grado superior,Tecnología,Mujer,35-45,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","Whatsapp, Telegram","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 9:58:16,Sí,"Grado superior, Bachillerato",Tecnología,Hombre,25-35,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Classroom,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:06:09,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:12:58,Sí,Grado medio,Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, Plataforma de aprendizaje específica de la consejería o centro.",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:13:54,Sí,Grado superior,,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:17:16,Sí,Grado superior,Ciencias,Mujer,25-35,0-5 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 10:27:31,Sí,Grado superior,Ciencias,Mujer,45-55,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 10:46:00,Sí,"Grado medio, Grado superior",Ciencias Sociales,Hombre,45-55,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 11:09:38,Sí,"Grado medio, Grado superior",Ciencias Sociales,Hombre,45-55,0-5 años,Un grupo para el curso completo (profesores y estudiantes),Google meet,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 11:13:38,Sí,"Grado medio, Grado superior",Ciencias Sociales,Hombre,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 11:26:17,Sí,"Grado medio, Grado superior",Ciencias Sociales,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,Gmail,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 16:14:29,Sí,Aula de Mayores/Extensión Universitaria,Tecnología,Hombre,45-55,más de 25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
9/02/2021 16:53:56,Sí,Grado medio,,Hombre,Más de 55,más de 25 años,Un grupo para el curso completo (profesores y estudiantes),"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 17:33:24,Sí,Grado superior,,Hombre,45-55,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,Bots que guarden y recuperen preguntas frecuentes,"No, no la usaba antes ni ahora."
9/02/2021 17:33:43,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería","Whatsapp, Telegram, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 18:10:20,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Un grupo para el curso completo (profesores y estudiantes),Plataforma de aprendizaje específica de la consejería o centro.,Bots que guarden y recuperen preguntas frecuentes,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 18:29:45,Sí,Grado superior,Tecnología,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro., Gmail, Dropbox ","Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 18:33:36,Sí,Grado superior,Tecnología,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 18:41:08,Sí,Grado superior,Tecnología,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:14:44,Sí,Grado superior,Tecnología,Mujer,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Plataforma de aprendizaje específica de la consejería o centro., Classroom","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:14:48,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:16:56,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:23:10,Sí,"Grado medio, Grado superior",Tecnología,Hombre,35-45,0-5 años,Un grupo con los estudiantes de mi asignatura,Classroom,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:35:45,Sí,Grado superior,Ciencias,Mujer,25-35,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:46:26,Sí,"Grado medio, Grado superior",Tecnología,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,"Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:52:39,Sí,Grado superior,Tecnología,Mujer,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.",Bots que guarden y recuperen preguntas frecuentes,"Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 20:24:11,Sí,"Grado medio, Bachillerato",Tecnología,Mujer,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Telegram, Slack, Plataforma de aprendizaje específica de la consejería o centro.","Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:31:14,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Slack, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:35:30,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Slack,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:39:25,Sí,Grado medio,Tecnología,Mujer,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 20:56:40,Sí,"Grado medio, Grado superior",Tecnología,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Classroom ","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:58:42,Sí,Grado medio,Tecnología,Mujer,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Telegram, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:07:52,Sí,"Grado medio, Grado superior",Tecnología,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:13:50,Sí,Grado medio,Tecnología,Hombre,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,"Telegram, Slack, Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:49:43,Sí,Grado superior,Tecnología,Hombre,45-55,más de 25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Telegram, LinkedIn, Discord, Plataforma de aprendizaje específica de la consejería o centro.",Ninguno que conozca,"No, antes la usaba y ahora la sigo usando."
10/02/2021 6:57:31,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Telegram, Slack","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
13/02/2021 8:08:12,Sí,Grado medio,Tecnología,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)",Antes usaba Moodle