Marca temporal,Titulación en curso,Titulación anterior (si la hubiera),Género,Edad,"Sobre el uso de los sistemas de mensajería en clase, prefiero","¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes) te podrían resultar útiles para mejorar tus resultados de aprendizaje o ayudarte, en general, a gestionar una asignatura?",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros de clase/profesores?
10/12/2020 9:21:18,,,,,Un grupo para el curso completo,Bots que guardaran y recuperaran preguntas frecuentes,
10/12/2020 9:31:10,,,,,Un grupo sin los profesores,Bots que te comuniquen las notas,
10/12/2020 9:31:29,,,,,Un grupo con más allegados,Bots que te ayuden con el material de clase,
10/12/2020 9:57:06,,,,,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guardaran y recuperaran preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",
10/12/2020 10:04:25,,,,,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con los compañeros/as ad hoc para hacer un proyecto o algo más específico, Un grupo para toda la ETSIIT, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guardaran y recuperaran preguntas frecuentes, Bots que te ayudaran a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",
10/12/2020 10:37:59,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 10:39:22,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 10:42:22,GII / GITT,,Hombre,20 a 25 años,"Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase","Whatsapp, Telegram"
10/12/2020 10:58:28,Máster Teleco,Grado en Ingeniería en Tecnologías de Telecomunicación,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord"
10/12/2020 11:30:54,Máster Teleco,Grado en Ingeniería de Tecnologías de Telecomunicación,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas","Whatsapp, Telegram, LinkedIn, Discord, Slack, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 12:03:50,GII / GITT,,Hombre,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord"
10/12/2020 13:28:01,Máster Teleco,GITT,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 13:55:14,GII / GITT,Grado informática,Hombre,20 a 25 años,Un grupo con más allegados,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 15:21:39,GII / GITT,,Hombre,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 16:01:01,DATCOM,Ingeniería Informática - ingeniería de Computadores,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 16:05:15,GII / GITT,,Hombre,20 a 25 años,Un grupo para el curso completo,Bots que te comuniquen las notas,"Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 17:35:54,DATCOM,Ingeniería de Computadores (US),Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 17:59:25,GII / GITT,,Hombre,20 a 25 años,Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
11/12/2020 0:51:25,GII / GITT,,Hombre,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
11/12/2020 9:25:53,GII / GITT,,Hombre,Menor de 20 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
11/12/2020 9:40:39,GII / GITT,,Mujer,20 a 25 años,Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico,Bots-agenda (que te avisen pe. del tiempo que queda para una entrega),Whatsapp
11/12/2020 9:42:05,GII / GITT,,Hombre,Menor de 20 años,Un grupo con más allegados,Bots que guarden y recuperen preguntas frecuentes,Whatsapp
11/12/2020 11:32:25,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase, En caso de clases telemáticas: Bots que avisen de que hay clase y proporcionen el enlace de la misma","Whatsapp, Telegram"
11/12/2020 11:44:14,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
11/12/2020 16:45:13,Máster Teleco,Grado en Telecomunicaciones,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
12/12/2020 11:04:42,Máster Teleco,GITT,Hombre,20 a 25 años,Un grupo con más allegados,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase","Whatsapp, Telegram"
12/12/2020 11:07:46,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
12/12/2020 11:16:10,Máster Teleco,Grado teleco ,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
12/12/2020 11:20:37,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",Whatsapp
12/12/2020 11:21:20,Máster Teleco,GITT,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord"
12/12/2020 11:24:33,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con más allegados, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas","Whatsapp, Meet de Google"
12/12/2020 12:45:57,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
12/12/2020 17:25:51,Máster Teleco,Máster Propio en Ciberseguridad (UGR),Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase, Rellenen por ejemplo el calendario de la cuenta de google de la UGR con fechas de entrega y exámenes, que indique horario de clases, fechas de charlas o eventos, clases de recuperación o extra (fuera del horario normal de clase)","Whatsapp, Telegram, Discord"
12/12/2020 17:51:00,Máster Teleco,Teleco,Prefiero no decirlo,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
12/12/2020 17:52:16,Máster Teleco,Grado en Ingeniería de Tecnologías de Telecomunicación,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
12/12/2020 18:06:06,Máster Teleco,Teleco,Prefiero no decirlo,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
12/12/2020 23:00:10,GII / GITT,Técnico Superior en Administración de Sistemas Informáticos en Red,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
14/12/2020 9:26:06,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Discord"
14/12/2020 9:38:57,Máster Teleco,Ingeniería en Tecnologías de Telecomunicaciones,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
14/12/2020 11:07:23,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
14/12/2020 11:34:39,GII / GITT,,Hombre,Menor de 20 años,Un grupo con todos los compañeros/as y profesores/as,"Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
14/12/2020 12:26:06,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord"
14/12/2020 18:38:48,Máster Teleco,Grado ingeniería telemática,Hombre,20 a 25 años,Un grupo para el curso completo,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram"
14/12/2020 18:51:48,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas",Whatsapp
15/12/2020 10:32:54,Máster Teleco,,Hombre,20 a 25 años,Un grupo para el curso completo,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
15/12/2020 10:37:45,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord"
15/12/2020 10:50:48,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase",Whatsapp
15/12/2020 10:52:51,Máster Teleco,Grado en Ingeniería de Tecnologías de Telecomunicación,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Discord"
15/12/2020 11:23:57,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
15/12/2020 11:51:25,GII / GITT,,Prefiero no decirlo,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
15/12/2020 13:04:05,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
