Marca temporal,Titulación en curso,Titulación anterior (si la hubiera),Género,Edad,"Sobre el uso de los sistemas de mensajería en clase, prefiero","¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes) te podrían resultar útiles para mejorar tus resultados de aprendizaje o ayudarte, en general, a gestionar una asignatura?",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros de clase/profesores?
15/12/2020 16:09:37,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
15/12/2020 20:58:58,GII / GITT,,Mujer,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:00:25,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase","Whatsapp, Telegram, Discord"
16/12/2020 16:00:31,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram, Twitter mensajes, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:01:06,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:01:19,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:01:21,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo con más allegados, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:02:04,GII / GITT,Hº del Arte,Hombre,Más de 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Telegram"
16/12/2020 16:06:30,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:07:43,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:12:42,GII / GITT,Ciclo Superior de Desarrollo de Aplicaciones Multiplataforma,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, LinkedIn, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:18:14,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:29:38,GII / GITT,FPGS DAM,Hombre,25 a 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:34:55,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Ahora que todoe s online un bot que te diga el meet de la clase estaria bien la verdad","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 16:48:45,GII / GITT,,Mujer,20 a 25 años,Un grupo para el curso completo,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",Whatsapp
16/12/2020 17:56:00,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
16/12/2020 17:56:29,GII / GITT,,Hombre,25 a 30 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas",Telegram
16/12/2020 17:56:35,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,Bots-agenda (que te avisen pe. del tiempo que queda para una entrega),Telegram
16/12/2020 17:56:35,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
16/12/2020 17:56:43,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas","Telegram, Discord"
16/12/2020 17:56:45,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica, Correo electrónico"
16/12/2020 17:57:05,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase","Whatsapp, Telegram"
16/12/2020 17:57:12,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 17:57:35,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
16/12/2020 17:58:48,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Telegram, Correo con los profesores"
16/12/2020 18:00:27,GII / GITT,Grado en Ingeniería Informática ,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase, bots con los datos de los profesores(nombre, email, despacho...)","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 18:27:26,GII / GITT,,Hombre,20 a 25 años,Un grupo sin los profesores,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Telegram"
16/12/2020 19:32:53,GII / GITT,,Hombre,20 a 25 años,"Un grupo con más allegados, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Telegram, Discord"
16/12/2020 19:33:14,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica, EMAIL"
16/12/2020 19:34:08,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 19:34:51,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo",Bots-agenda (que te avisen pe. del tiempo que queda para una entrega),"Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 20:31:02,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
16/12/2020 20:31:29,GII / GITT,Doble Grado en Ingeniería Informática,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 20:31:37,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
16/12/2020 20:32:04,GII / GITT/GIIM,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 20:32:17,GII / GITT / GIIM,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,Bots que te ayuden con el material de clase,Whatsapp
16/12/2020 20:32:28,GII / GITT / GIIM,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
16/12/2020 20:32:46,GII / GITT / GIIM,,Hombre,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 20:32:47,GII / GITT / GIIM,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
16/12/2020 20:32:53,GII / GITT / GIIM,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram"
16/12/2020 20:34:22,GII / GITT / GIIM,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
16/12/2020 20:34:36,GII / GITT / GIIM,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
16/12/2020 20:44:44,GII / GITT / GIIM,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
16/12/2020 21:05:01,GII / GITT / GIIM,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
16/12/2020 21:19:20,GII / GITT / GIIM,Informatica y matematicas,Hombre,Menor de 20 años,"Un grupo sin los profesores, Un grupo con más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
16/12/2020 21:29:27,GII / GITT / GIIM,,Mujer,20 a 25 años,Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico,Bots-agenda (que te avisen pe. del tiempo que queda para una entrega),Whatsapp
16/12/2020 21:46:38,GII / GITT / GIIM,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
17/12/2020 19:12:28,MAES,Ingeniero Técnico en Informática de Gestión,Hombre,Más de 30 años,"Un grupo sin los profesores, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas",Telegram
19/12/2020 13:00:55,MAES,Grado en Ingeniería Informática,Mujer,20 a 25 años,"Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",Telegram
22/12/2020 8:52:34,MAES,INGENIERÍA INFORMÁTICA,Hombre,Más de 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica, EMAIL, DRIVE"