Marca temporal,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
8/02/2021 13:30:30,"Grado, Máster",Ingeniería,Hombre,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,Telegram,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 13:38:20,"Grado, Máster, Doctorado",Ingeniería,Prefiero no decirlo,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
8/02/2021 13:46:16,"Grado, Máster, Títulos propios",Ingeniería,Hombre,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,"Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
8/02/2021 14:04:00,"Grado, Máster, Doctorado",Ingeniería,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
8/02/2021 14:08:46,Grado,Ingeniería,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 15:09:08,Grado,Ciencias Sociales,Hombre,Más de 55,más de 25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 15:23:24,Grado,Biosanitaria,Mujer,25-35,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"Sí, he cambiado de plataforma de mensajería a otras más seguras."
8/02/2021 15:25:23,"Grado, Máster, Doctorado",Ingeniería,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,Telegram,"Que le digan al estudiante el aula o laboratorio, url de la clase","No, antes la usaba y ahora la sigo usando."
8/02/2021 15:43:54,"Grado, Máster, Doctorado",Ingeniería,Hombre,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Me gustaría usar alguna de estas plataformas, pero no están autorizadas por la UGR","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
8/02/2021 16:36:35,Grado,Ingeniería,Mujer,25-35,0-5 años,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería","PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
8/02/2021 17:07:57,Grado,Ciencias Sociales,Mujer,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
8/02/2021 17:34:17,"Grado, Máster",Ingeniería,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
8/02/2021 17:42:23,"Grado, Máster",Ingeniería,Hombre,25-35,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)","Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
8/02/2021 18:18:38,"Grado, Máster",Ingeniería,Prefiero no decirlo,Más de 55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
8/02/2021 18:24:38,"Grado, Máster",Ciencias Sociales,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
8/02/2021 18:44:11,"Grado, Máster",Ciencias Sociales,Mujer,Más de 55,15-25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, he cambiado de plataforma de mensajería a otras más seguras."
8/02/2021 19:00:09,"Grado, Máster",Ingeniería,Hombre,Más de 55,más de 25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",SWAD ya los incorpora,"No, antes la usaba y ahora la sigo usando."
8/02/2021 19:07:53,"Grado, Máster, Doctorado, Títulos propios",Ingeniería,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
8/02/2021 19:31:17,Grado,Ingeniería,Hombre,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
8/02/2021 19:32:21,"Grado, Máster, Doctorado",Ingeniería,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento, email","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, he cambiado de plataforma de mensajería a otras más seguras."
8/02/2021 19:49:35,"Grado, Máster, Doctorado",Ingeniería,Hombre,45-55,más de 25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots que guarden y recuperen preguntas frecuentes,"No, antes la usaba y ahora la sigo usando."
8/02/2021 19:57:10,"Grado, Máster",Ingeniería,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
8/02/2021 20:12:47,"Grado, Máster, Doctorado, Títulos propios",Ingeniería,Prefiero no decirlo,45-55,más de 25 años,Un grupo para el curso completo (profesores y estudiantes),"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 21:21:56,"Grado, Máster",Ingeniería,Mujer,25-35,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, no la usaba antes ni ahora."
8/02/2021 21:44:06,"Grado, Máster",Ingeniería,Hombre,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 21:53:08,Grado,Ingeniería,Hombre,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, no la usaba antes ni ahora."
8/02/2021 23:33:57,"Grado, Máster, Doctorado",Ingeniería,Hombre,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, no la usaba antes ni ahora."
9/02/2021 8:44:51,"Grado, Máster",Ingeniería,Mujer,Más de 55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 10:12:33,Grado,Ciencias,Mujer,35-45,0-5 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 12:03:26,"Grado, Máster",Ingeniería,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 14:59:25,Grado,Ingeniería,Hombre,45-55,más de 25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)","Twitter mensajes, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento, Teams","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 15:06:12,"Grado, Máster",Ingeniería,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Aula Virtual, incluye foro (con moodle)",ninguno,"No, antes la usaba y ahora la sigo usando."
9/02/2021 15:09:03,"Grado, Máster",Ingeniería,Hombre,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.",Bots que guarden y recuperen preguntas frecuentes,"No, no la usaba antes ni ahora."
9/02/2021 15:13:43,Grado,Ingeniería,Hombre,45-55,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)","PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento, TEAMS",No uso bots,"Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 15:13:57,"Grado, Máster, Doctorado, Títulos propios",Ingeniería,Mujer,25-35,5-15 años,Un grupo con los estudiantes de mi asignatura,Teams,Ninguno,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 15:15:33,"Grado, Máster",Ingeniería,Hombre,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 15:43:18,Grado,Ingeniería,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Enseño a programar bots de telegram, pero para clase uso e-mail","No, no la usaba antes ni ahora."
9/02/2021 16:06:33,"Grado, Máster",Ingeniería,Hombre,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,Teams,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 16:28:27,"Grado, Doctorado",Ingeniería,Hombre,45-55,15-25 años,Un grupo para el curso completo (profesores y estudiantes),"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 16:32:35,"Grado, Máster, Títulos propios",Ingeniería,Mujer,25-35,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, no la usaba antes ni ahora."
9/02/2021 17:38:40,Grado,Ingeniería,Hombre,35-45,5-15 años,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
9/02/2021 18:19:45,Grado,Ingeniería,Hombre,25-35,0-5 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 18:53:17,Grado,Ingeniería,Hombre,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,correo-e y TEAMS,"No veo utilidad para ""mejorar resultados de aprendizaje""","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:14:35,Grado,Ciencias,Hombre,25-35,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:19:42,Máster,Ingeniería,Mujer,25-35,0-5 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",Discord,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 20:01:36,Máster,Ingeniería,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Discord, Classroom.google.com","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:16:10,Grado,Ingeniería,Hombre,45-55,0-5 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:16:43,Doctorado,Ingeniería,Mujer,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 20:27:14,Grado,Ingeniería,Mujer,35-45,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Whatsapp,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 20:27:23,Grado,Ingeniería,Hombre,25-35,5-15 años,Un grupo con los estudiantes de mi asignatura,Teams,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)",Antes solía emplear el foro de Moodle y ahora también uso Teams 
9/02/2021 20:50:35,Grado,Ciencias Sociales,Mujer,45-55,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 20:51:13,"Grado, Máster, Títulos propios",Ingeniería,Mujer,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)","Telegram, Foro de Aula Virtual",Bots que comuniquen las notas,"No, antes la usaba y ahora la sigo usando."
9/02/2021 20:51:30,Máster,Ciencias,Mujer,35-45,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 21:04:34,Grado,Ingeniería,Mujer,25-35,5-15 años,Un grupo con los estudiantes de mi asignatura,Messenger y Classroom.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando), Lo idea sería que las respuestas no den prediseñadas para poder contestar específicamente cualquier duda de cualquier índole.","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:15:44,Grado,Ingeniería,Mujer,25-35,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 22:00:50,"Grado, Máster",Ingeniería,Hombre,35-45,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, correo electrónico","Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 22:15:38,Grado,Ingeniería,Hombre,35-45,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,Bots que comuniquen las notas,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
10/02/2021 6:10:32,"Grado, Máster, Doctorado",Ciencias Sociales,Mujer,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
10/02/2021 9:06:54,"Grado, Máster, Doctorado, Títulos propios",Ciencias Sociales,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
10/02/2021 9:14:01,"Grado, Máster, Títulos propios",Ciencias Sociales,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
10/02/2021 11:09:13,Grado,Ciencias,Mujer,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots que guarden y recuperen preguntas frecuentes,"No, antes la usaba y ahora la sigo usando."
10/02/2021 11:14:52,"Grado, Máster",Ingeniería,Hombre,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
10/02/2021 11:15:11,Grado,Ingeniería,Hombre,25-35,0-5 años,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Ninguno, son los estudiantes los que tienen que trabajar","No, antes la usaba y ahora la sigo usando."
