Agenda,ClassMaterial,Age,Experience,FAQ,Grades,Gender,"PostCOVID changes","Marca temporal",None,Other,OtherBot,Provided,Sector,Slack,"Messaging Organization",Telegram,Degrees,WhatsApp,Discipline
Yes,Yes,"Más de 55","más de 25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 13:30:30",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",No,Ingeniería
Yes,No,35-45,"15-25 años",Yes,No,"Prefiero no decirlo","No, antes la usaba y ahora la sigo usando.","8/02/2021 13:38:20",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",No,Ingeniería
Yes,Yes,35-45,"5-15 años",Yes,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","8/02/2021 13:46:16",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Títulos propios",No,Ingeniería
Yes,No,45-55,"más de 25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 14:04:00",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado",No,Ingeniería
No,Yes,45-55,"más de 25 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 14:08:46",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
Yes,Yes,"Más de 55","más de 25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 15:09:08",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,"Ciencias Sociales"
Yes,No,25-35,"0-5 años",No,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","8/02/2021 15:23:24",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,Yes,Biosanitaria
No,No,45-55,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 15:25:23",No,No,Yes,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",No,Ingeniería
Yes,Yes,35-45,"15-25 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","8/02/2021 15:43:54",No,Yes,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado",No,Ingeniería
Yes,No,25-35,"0-5 años",Yes,No,Mujer,"No, antes la usaba y ahora la sigo usando.","8/02/2021 16:36:35",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","8/02/2021 17:07:57",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Grado,Yes,"Ciencias Sociales"
Yes,No,45-55,"15-25 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","8/02/2021 17:34:17",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",No,Ingeniería
Yes,No,25-35,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 17:42:23",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",Yes,"Grado, Máster",No,Ingeniería
Yes,No,"Más de 55","15-25 años",No,No,"Prefiero no decirlo","No, antes la usaba y ahora la sigo usando.","8/02/2021 18:18:38",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",No,Ingeniería
No,No,"Más de 55","más de 25 años",Yes,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","8/02/2021 18:24:38",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",Yes,"Ciencias Sociales"
Yes,Yes,"Más de 55","15-25 años",No,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","8/02/2021 18:44:11",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,"Ciencias Sociales"
No,No,"Más de 55","más de 25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:00:09",No,No,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",Yes,Ingeniería
Yes,No,45-55,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:07:53",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado, Títulos propios",Yes,Ingeniería
Yes,No,"Más de 55","más de 25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:31:17",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
Yes,Yes,45-55,"más de 25 años",No,No,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","8/02/2021 19:32:21",No,Yes,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado",No,Ingeniería
No,No,45-55,"más de 25 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 19:49:35",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster, Doctorado",No,Ingeniería
Yes,Yes,45-55,"más de 25 años",Yes,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","8/02/2021 19:57:10",Yes,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
Yes,Yes,45-55,"más de 25 años",No,Yes,"Prefiero no decirlo","No, antes la usaba y ahora la sigo usando.","8/02/2021 20:12:47",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster, Doctorado, Títulos propios",No,Ingeniería
Yes,No,25-35,"5-15 años",Yes,No,Mujer,"No, no la usaba antes ni ahora.","8/02/2021 21:21:56",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
Yes,Yes,35-45,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","8/02/2021 21:44:06",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","8/02/2021 21:53:08",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Ingeniería
Yes,No,35-45,"15-25 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","8/02/2021 23:33:57",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",Yes,Ingeniería
No,Yes,"Más de 55","15-25 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","9/02/2021 8:44:51",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",Yes,Ingeniería
Yes,Yes,35-45,"0-5 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","9/02/2021 10:12:33",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ciencias
Yes,Yes,45-55,"15-25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 12:03:26",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",No,Ingeniería
Yes,No,45-55,"más de 25 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 14:59:25",No,Yes,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",No,Grado,No,Ingeniería
No,No,45-55,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 15:06:12",No,Yes,Yes,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",No,Ingeniería
No,No,35-45,"5-15 años",Yes,No,Hombre,"No, no la usaba antes ni ahora.","9/02/2021 15:09:03",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
No,No,45-55,"5-15 años",No,No,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","9/02/2021 15:13:43",No,Yes,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",No,Grado,No,Ingeniería
No,No,25-35,"5-15 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 15:13:57",No,Yes,Yes,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado, Títulos propios",No,Ingeniería
Yes,Yes,35-45,"5-15 años",Yes,Yes,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 15:15:33",No,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
No,No,45-55,"15-25 años",No,No,Hombre,"No, no la usaba antes ni ahora.","9/02/2021 15:43:18",Yes,No,Yes,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 16:06:33",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
Yes,No,45-55,"15-25 años",Yes,Yes,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","9/02/2021 16:28:27",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Doctorado",No,Ingeniería
Yes,No,25-35,"5-15 años",No,No,Mujer,"No, no la usaba antes ni ahora.","9/02/2021 16:32:35",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster, Títulos propios",No,Ingeniería
Yes,Yes,35-45,"5-15 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","9/02/2021 17:38:40",No,No,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",No,Grado,Yes,Ingeniería
Yes,No,25-35,"0-5 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 18:19:45",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",No,Grado,No,Ingeniería
No,No,45-55,"5-15 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 18:53:17",No,Yes,Yes,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
Yes,Yes,25-35,"5-15 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 19:14:35",Yes,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",No,Grado,No,Ciencias
Yes,No,25-35,"0-5 años",Yes,Yes,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","9/02/2021 19:19:42",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",No,Máster,No,Ingeniería
No,Yes,45-55,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 20:01:36",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Máster,No,Ingeniería
Yes,No,45-55,"0-5 años",No,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 20:16:10",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
Yes,Yes,35-45,"15-25 años",Yes,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 20:16:43",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Doctorado,No,Ingeniería
Yes,No,35-45,"5-15 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 20:27:14",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",No,Grado,Yes,Ingeniería
Yes,Yes,25-35,"5-15 años",Yes,No,Hombre,"Antes solía emplear el foro de Moodle y ahora también uso Teams ","9/02/2021 20:27:23",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
Yes,No,45-55,"0-5 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 20:50:35",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,Yes,"Ciencias Sociales"
No,No,45-55,"15-25 años",No,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","9/02/2021 20:51:13",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",Yes,"Grado, Máster, Títulos propios",No,Ingeniería
Yes,Yes,35-45,"15-25 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 20:51:30",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Máster,No,Ciencias
Yes,Yes,25-35,"5-15 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","9/02/2021 21:04:34",No,Yes,Yes,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
No,Yes,25-35,"0-5 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","9/02/2021 21:15:44",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,Yes,Ingeniería
No,Yes,35-45,"15-25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","9/02/2021 22:00:50",No,Yes,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
No,No,35-45,"0-5 años",No,Yes,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","9/02/2021 22:15:38",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,Yes,Ingeniería
Yes,No,35-45,"5-15 años",Yes,Yes,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 6:10:32",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",Yes,"Ciencias Sociales"
Yes,Yes,45-55,"más de 25 años",Yes,No,Hombre,"No, no la usaba antes ni ahora.","10/02/2021 9:06:54",Yes,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster, Doctorado, Títulos propios",No,"Ciencias Sociales"
Yes,No,45-55,"15-25 años",No,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 9:14:01",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster, Títulos propios",No,"Ciencias Sociales"
No,No,45-55,"más de 25 años",Yes,No,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 11:09:13",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ciencias
Yes,No,35-45,"15-25 años",No,Yes,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 11:14:52",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster",Yes,Ingeniería
No,No,25-35,"0-5 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 11:15:11",No,No,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",Yes,Grado,Yes,Ingeniería
Yes,No,25-35,"0-5 años",No,Yes,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 11:20:58",No,Yes,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Grado,No,Ingeniería
No,No,45-55,"15-25 años",No,No,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 11:21:07",No,No,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
No,No,45-55,"más de 25 años",Yes,No,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 11:22:26",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,No,Ingeniería
No,No,35-45,"5-15 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","10/02/2021 11:25:19",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster, Doctorado",No,Ingeniería
Yes,Yes,35-45,"0-5 años",Yes,Yes,Hombre,"No, no la usaba antes ni ahora.","10/02/2021 11:27:17",No,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
No,Yes,35-45,"5-15 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 11:36:06",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster, Doctorado, Títulos propios",No,Ingeniería
Yes,No,25-35,"0-5 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 11:43:14",No,No,No,No,University,Yes,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,Yes,Ingeniería
Yes,Yes,35-45,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 11:44:40",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
No,No,"Más de 55","más de 25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 11:44:41",No,No,Yes,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",No,Ingeniería
No,No,35-45,"0-5 años",Yes,No,Hombre,"No, no la usaba antes ni ahora.","10/02/2021 11:48:14",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,Ingeniería
No,No,"Más de 55","más de 25 años",No,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 11:56:59",No,No,Yes,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,Yes,"Ciencias Sociales"
Yes,No,35-45,"15-25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 12:58:48",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",Yes,"Grado, Máster, Doctorado",No,Ingeniería
Yes,No,45-55,"más de 25 años",No,Yes,Hombre,"No, no la usaba antes ni ahora.","10/02/2021 13:27:00",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Humanidades
No,No,45-55,"5-15 años",No,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 13:35:21",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 13:45:32",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Grado,No,Ingeniería
No,Yes,35-45,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 13:48:05",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Títulos propios",No,Ingeniería
Yes,Yes,45-55,"15-25 años",Yes,Yes,Hombre,"Antes las usabas, pero ahora con mayor frecuencia.","10/02/2021 14:17:45",No,No,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Yes,"Grado, Máster",Yes,Ciencias
Yes,Yes,45-55,"más de 25 años",No,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 15:39:56",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",Yes,Ingeniería
Yes,No,35-45,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 15:56:01",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
No,Yes,35-45,"5-15 años",No,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 18:37:01",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Doctorado,Yes,Ingeniería
Yes,No,25-35,"0-5 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 18:53:54",No,No,No,No,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Grado,Yes,Humanidades
No,Yes,45-55,"15-25 años",Yes,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:05:52",No,No,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",Yes,"Ciencias Sociales"
No,No,35-45,"5-15 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:22:21",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,Yes,Ciencias
Yes,No,45-55,"más de 25 años",No,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:22:31",No,Yes,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",Yes,Ciencias
No,Yes,45-55,"5-15 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:24:01",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Máster,Yes,"Ciencias Sociales"
No,No,45-55,"5-15 años",Yes,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 19:24:15",No,Yes,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",No,Grado,Yes,Ciencias
Yes,Yes,45-55,"15-25 años",Yes,Yes,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 19:25:16",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Yes,Grado,Yes,"Ciencias Sociales"
Yes,No,45-55,"15-25 años",No,No,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 19:55:11",No,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,Yes,"Ciencias Sociales"
No,No,35-45,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:13:11",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Doctorado,No,"Ciencias Sociales"
No,No,45-55,"más de 25 años",Yes,No,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:24:25",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Máster,Yes,"Ciencias Sociales"
No,Yes,"Más de 55","5-15 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 20:42:24",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Grado,No,Humanidades
